Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
asus,Asus Zenfone Max Plus (M2) ZB634KL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-plus-m2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, March","Available. Released 2019, March",159.2 x 76.2 x 8.4 mm (6.27 x 3.00 x 0.33 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"S-IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 98.7 cm2 (~81.4% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~398 ppi density)",Android 8.0 (Oreo),Qualcomm Snapdragon SiP 1,Octa-core 1.8 GHz,"microSD, up to 512 GB (dedicated slot)","32 GB, 3 GB RAM",8 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Non-removable Li-Po 4000 mAh battery,,"Red, Silver, Blue, Black",About 300 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps",Adreno 506,"LED flash, HDR, panorama",,LED flash,,,,,,,,,Fast battery charging 5V/2A 10W,,,,,,,"12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF 5 MP, f/2.4, 1.12µm, depth sensor",,,,,,,,,,,,,
asus,Asus Zenfone Max Shot ZB634KL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-shot.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, March","Available. Released 2019, March",159.2 x 76.2 x 8.4 mm (6.27 x 3.00 x 0.33 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"S-IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 98.7 cm2 (~81.4% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~398 ppi density)",Android 8.0 (Oreo),Qualcomm Snapdragon SiP 1,Octa-core 1.8 GHz,"microSD, up to 512 GB (dedicated slot)","64 GB, 4 GB RAM",8 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Non-removable Li-Po 4000 mAh battery,,"Red, Silver, Blue, Black",About 310 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat7 300/50 Mbps",Adreno 506,"LED flash, HDR, panorama",,LED flash,,,,,,,,,Fast battery charging 5V/2A 10W,,,,,,,,,,,,,,,,,,,"12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF 8 MP, 13mm (ultrawide) 5 MP, f/2.4, 1.12µm, depth sensor",
asus,Asus Zenfone Max Pro (M2) ZB631KL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m2r1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, December","Available. Released 2018, December",157.9 x 75.5 x 8.5 mm (6.22 x 2.97 x 0.33 in),175 g (6.17 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~82.0% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~403 ppi density)",Android 8.1 (Oreo),Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"microSD, up to 512 GB (dedicated slot)","64 GB, 4/6 GB RAM or 32 GB, 3 GB RAM","13MP, f/2.0, 1.12µm","2160p@30fps, 1080p@30/60fps, gyro-EIS",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery,,"Blue, Titanium",,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps",Adreno 512,"LED flash, HDR, panorama",,"LED flash, HDR",,,,,,,,Corning Gorilla Glass 6,Fast battery charging 5V/2A 10W,Yes,,,,,,"12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF 5 MP, f/2.4, 1.12µm, depth sensor",,"Front glass, plastic body",,,,,,,,,,,
asus,Asus Zenfone Max (M2) ZB633KL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m2-zb633kl-r.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, December","Available. Released 2018, December",158.4 x 76.3 x 7.7 mm (6.24 x 3.00 x 0.30 in),160 g (5.64 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~80.9% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",Android 8.1 (Oreo),Qualcomm SDM632 Snapdragon 632 (14 nm),Octa-core (4x1.8 GHz Kryo 250 Gold & 4x1.8 GHz Kryo 250 Silver),"microSD, up to 512 GB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","8 MP, f/2.0, 1.12µm","2160p@30fps, 1080p@30fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery,,"Black, Blue",,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 506,"LED flash, HDR, panorama",,"LED flash, HDR",,,,,,,,,,,,,,,,"13 MP, f/1.8, 1.12µm, PDAF 2 MP, depth sensor",,,,,,,,,,,,,
asus,Asus Zenfone Max (M1) ZB556KL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1-zb556kl.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, October",147.3 x 70.9 x 8.7 mm (5.80 x 2.79 x 0.34 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 86.5 cm2 (~82.8% screen-to-body ratio)","720 x 1440 pixels, 16:10 ratio (~247 ppi density)",Android 8 (Oreo); ZenUI 5,Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)","32 GB, 3 GB RAM","8 MP, f/2.0, 25mm (wide), 1.12µm",1080p@30fps (gyro-EIS),,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass",Photo/video editor,,"Deepsea Black, Sunlight Gold",About 120 EUR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps",Adreno 505,"LED flash, HDR, panorama",Non-removable Li-Po 4000 mAh battery,LED flash,,,,,,,,,Fast battery charging 5V/2A 10W,,,,,,,"13 MP, f/2.0, 1/3"", 1.12µm, PDAF",,"Front glass, aluminum body",,,,,,,,,,,
asus,Asus ZenFone Lite (L1) ZA551KL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-lite-l1-za551kl.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, October","Available. Released 2018, October",147.3 x 71.8 x 8.2 mm (5.80 x 2.83 x 0.32 in),140 g (4.94 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~72.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Android 8.0 Oreo,Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 512 GB (dedicated slot)","16 GB, 2 GB RAM","13 MP, f/2.0, 1/3"", 1.12µm, PDAF",1080p@30fps,"5 MP, f/2.4, 1.12µm",,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",Non-removable Li-Ion 3000 mAh battery,,"Black, Gold",About 80 EUR,HSDPA 850 / 900 / 2100,LTE,"HSPA, LTE-A",Adreno 505,"LED flash, HDR, panorama",,LED flash,,,,,,,,,,,,,,,,,,Plastic body,,,,,,,,,,,
asus,Asus ROG Phone,https://cdn2.gsmarena.com/vv/bigpic/asus-rog-phone.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, June","Available. Released 2018, October",158.8 x 76.2 x 8.3 mm (6.25 x 3.00 x 0.33 in),200 g (7.05 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA - B version,"AMOLED capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~76.8% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Android 8.1 (Oreo), planned upgrade to Android 9.0 (Pie); ROG Gaming X UI",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.96 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),No,"128/512 GB, 8 GB RAM","8 MP, f/2.0, 24mm (wide)","2160p@30/60fps, 1080p@30/60/240fps, (3-axis gyro-EIS)",,1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/ad, dual-band, WiFi Direct, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS",FM radio,"3.1, Type-C 1.0 reversible connector; accessory connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",3 Ultrasonic pressure sensitive zones Water resistant,,Black,About 950 EUR,"HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - A version, B version","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 28(700), 29(700), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500), 46 - A version, B version","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps",Adreno 630,"LED flash, panorama, HDR",Non-removable Li-Ion 4000 mAh battery,"Panorama, HDR",,Basemark OS II: 5225 / Basemark OS II 2.0: 4702Basemark X: 60171,"Contrast ratio: Infinite (nominal), 4.765 (sunlight)",Photo / Video,Voice 79dB / Noise 77dB / Ring 84dB,Noise -93.8dB / Crosstalk -62.5dB,Endurance rating 78h,Corning Gorilla Glass 6,Fast battery charging 10V/3A 30W (Quick Charge 4+),Yes,,,,,,"12 MP, f/1.8, 24mm (wide), 1/2.55"", 1.4µm, 4-axis OIS, dual pixel PDAF 8 MP, 12mm, no AF",,Front glass (Gorilla Glass 6) /back glass (Gorilla Glass 5) & aluminum frame,,,,,,,,,,,
asus,Asus ZenFone Live (L1) ZA550KL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l1-za550kl-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, May","Available. Released 2018, May",147.3 x 71.8 x 8.2 mm (5.80 x 2.83 x 0.32 in),140 g (4.94 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~73.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Android 8.0 Oreo (Go edition); ZenUI 5,Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 512 GB (dedicated slot)","32 GB, 2 RAM or 16 GB, 1 GB RAM","13 MP, f/2.0, PDAF",1080p@30fps,"5 MP, f/2.4",,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3000 mAh battery,,"Space Blue, Rose Pink, Shimmer Gold, Midnight Black",About 100 EUR,HSDPA 850 / 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 308,"LED flash, HDR, panorama",,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asus,Asus Zenfone Max Pro (M1) ZB601KL/ZB602K,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m1-zb601kl-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, April","Available. Released 2018, May",159 x 76 x 8.5 mm (6.26 x 2.99 x 0.33 in),180 g (6.35 oz),"Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 2100 - India,"IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.1 cm2 (~76.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~404 ppi density)",Android 8.1 (Oreo),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,"microSD, up to 512 GB (dedicated slot)","64/128 GB, 4/6 GB RAM or 32 GB, 3 GB RAM","8 MP, f/2.2, 26mm (wide), 1.0µm 16 MP (6 GB RAM model only)","2160p@30fps, 1080p@30/60fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass, gyroscope, ambient light sensor","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300) - India",Up to 42 h (3G),"Meteor Silver, Deepsea Black",About 160 EUR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 509,"LED flash, HDR, panorama",Non-removable Li-Po 5000 mAh battery,LED flash,Up to 840 h (3G),,,,,,,,Fast battery charging 5V/2A 10W,Yes (market dependent),,Up to 199 h,,,,"13 MP, f/2.2, 25mm (wide), 1.12µm, PDAF 5 MP, f/2.4, 1.12µm, depth sensor or 16 MP, f/2.0, PDAF 5 MP, f/2.4, 1.12µm, depth sensor (6 GB RAM model only)",,"Front glass, aluminum body",,,,,,,,,,,
asus,Asus Zenfone 5z ZS620KL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-ze620kl-5z-zs620kl.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, February","Available. Released 2018, June",153 x 75.7 x 7.9 mm (6.02 x 2.98 x 0.31 in),155 g (5.47 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA - C version,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.9 cm2 (~83.6% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie); ZenUI 5",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),"microSD, up to 512 GB (uses SIM 2 slot)","256 GB, 8 GB RAM or 128 GB, 6 GB RAM or 64 GB, 4 GB RAM","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","2160p@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps",,1080p@30fps (gyro-EIS),"Yes, with dual speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, WiFi Direct, hotspot","v5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",HSDPA 800 / 850 / 900 / 1900 / 2100 - A version,,"Midnight Blue, Meteor Silver",About 500 EUR,"HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - B version, C version","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 30(2300), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500) - B version, C version","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps",Adreno 630,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3300 mAh battery,HDR,,,,,,,,Corning Gorilla Glass (unspecified version),Fast battery charging 9V/2A 18W,Yes,,,,,,"12 MP, f/1.8, 24mm (wide), 1/2.55"", 1.4µm, 4-axis OIS, PDAF 8 MP, f/2.0, 12mm, 1/4"", 1.12µm, no AF",,"Front glass, aluminum body",,,,,,,,,,,
asus,Asus Zenfone 5 ZE620KL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-ze620kl-5z-zs620kl.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, February","Available. Released 2018, May",153 x 75.7 x 7.7 mm (6.02 x 2.98 x 0.30 in),165 g (5.82 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 2100 - C version,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.9 cm2 (~83.6% screen-to-body ratio)","1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie); ZenUI 5",Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core Kryo 260,"microSD, up to 512 GB (uses SIM 2 slot)","64 GB, 4/6 GB RAM","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm","2160p@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS)",,1080p@30fps (gyro-EIS),"Yes, with dual speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, WiFi Direct, hotspot","v5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 18(800), 19(800), 28(700), 38(2600), 39(1900), 41(2500) - B version",,"Midnight Blue, Meteor Silver",About 400 EUR,"HSDPA 800 / 850 / 900 / 1900 / 2100 - A version, B version","LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 18(800), 19(800), 20(800), 26(850), 28(700), 32(1500), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500) - A version","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/75 Mbps",Adreno 509,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3300 mAh battery,,,,,,,,,Corning Gorilla Glass (unspecified version),Fast battery charging 5V/2A 10W,Yes,,,,,,"12 MP, f/1.8, 24mm (wide), 1/2.55"", 1.4µm, PDAF, 4-axis OIS 8 MP, f/2.0, 12mm, 1/4"", 1.12µm, no AF",,"Front glass, aluminum body",,,,,,,,,,,
asus,Asus Zenfone 5 Lite ZC600KL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-lite-r.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, February","Available. Released 2018, May",160.6 x 76.2 x 7.8 mm (6.32 x 3.00 x 0.31 in),168 g (5.93 oz),"Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~75.9% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Android 7.1 (Nougat), planned upgrade to Android 8 (Oreo); ZenUI 5",Qualcomm SDM630 Snapdragon 630 (14 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 2.2 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53,"microSD, up to 512 GB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM",,"2160p@30fps (SDM630 only), 1080p@60fps, 1080p@30fps (gyro-EIS)",,1080p@30fps (gyro-EIS),Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot (SDM630)Wi-Fi 802.11, b/g/n, WiFi Direct, hotspot (MSM8937)","4.1 or 4.2 (SDM630 only), A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",HSDPA 850 / 900 / 1900 / 2100  / 800,Up to 30 h (3G),"Midnight Black, Moonlight White, Rouge Red",About 250 EUR,HSDPA 850 / 900 / 2100 - Europe,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300) - Europe","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/75 Mbps (SDM630)HSPA 42.2/5.76 Mbps, LTE Cat4 150/75 Mbps (MSM8937)",Adreno 508Adreno 505,"LED flash, HDR, panorama",Non-removable Li-Ion 3300 mAh battery,LED flash,,,,,,,,,,Yes,,,,,,"16 MP, f/2.2, 26mm (wide), PDAF Unknown MP, 13mm, no AF",,"Front/back glass, aluminum frame",,,,,,,,,,,"20 MP, f/2.0, 23mm (wide), 1/2.8"", 1.0 μm Unknown MP, 13mm"
asus,Asus Zenfone Max (M1) ZB555KL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1-zb555kl.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2018, February","Available. Released 2018, May",147.3 x 70.9 x 8.7 mm (5.80 x 2.79 x 0.34 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 88.1 cm2 (~84.4% screen-to-body ratio)","720 x 1440 pixels, 16:10 ratio (~245 ppi density)",Android 8 (Oreo); ZenUI 5,Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm),Quad-core 1.4 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)","32 GB, 3 GB RAM or 16/32 GB, 2 GB RAM","8 MP, f/2.2, 25mm (wide)",1080p@30fps (gyro-EIS),,1080p@30fps (gyro-EIS),Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 4000 mAh battery,Up to 36 h (3G),"Deepsea Black, Sunlight Gold, Ruby Red",About 160 EUR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps",Adreno 308Adreno 505,"LED flash, HDR, panorama",,,,,,,,,,,,,,,,,,"13 MP, f/2.0 8 MP, 17mm (ultrawide), no AF, PDAF",,"Front glass, aluminum body",,,,,,,,,,,
asus,Asus Zenfone Max Plus (M1) ZB570TL,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1.jpg,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, November","Available. Released 2017, December",152.6 x 73 x 8.8 mm (6.01 x 2.87 x 0.35 in),160 g (5.64 oz),"Dual SIM (Nano-SIM, dual stand-by)",CDMA 800 & TD-SCDMA - China,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.3% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~424 ppi density)",Android 7 (Nougat); ZenUI 4,Mediatek MT6750T (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 256 GB (dedicated slot)","64 GB, 4 GB RAM or 32 GB, 3 GB RAM or 16 GB, 2 GB RAM","8 MP, f/2.0, 25mm (wide)",1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",HSDPA 850 / 900 / 2100 / 800 - Taiwan,,"Sunlight Gold, Azure Silver, Deepsea Black",About 250 EUR,"HSDPA 850 / 900 / 1900 / 2100 - Global, China","LTE band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300) - Global","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T860MP2,"LED flash, HDR, panorama",Non-removable Li-Po 4130 mAh battery,,,,,,,,,,Fast battery charging 5V/2A 10W Power Bank/Reverse charging,,,,,,,"16 MP, f/2.0, 35mm (standard), PDAF 8 MP, 17mm (ultrawide), no AF",,"Front glass, aluminum body",,,,,,,,,,,
