Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages
alcatel,alcatel 3T 10,https://cdn2.gsmarena.com/vv/bigpic/alcatel-3t-10-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, Q1",260 x 156.6 x 9 mm (10.24 x 6.17 x 0.35 in),440 g (15.52 oz),Nano-SIM,Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","10.0 inches, 290.0 cm2 (~71.2% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~151 ppi density)",Android 8.1 (Oreo),,,"microSD, up to 128 GB (dedicated slot)","16 GB, 2 GB RAM","2 MP, f/2.8, 1/5"", 1.65µm",720p@30fps,"2 MP, f/2.8, 1/5"", 1.65µm",720p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE",No,FM radio,microUSB 2.0,"Accelerometer, proximity",Non-removable Li-Ion 4080 mAh battery,,"Prime Black, Midnight Blue",,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 28(700)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 3L,https://cdn2.gsmarena.com/vv/bigpic/alcatel-3l.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, Q1",151.1 x 69.7 x 8 mm (5.95 x 2.74 x 0.31 in),145 g (5.11 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.94 inches, 86.6 cm2 (~82.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~289 ppi density)",Android 8.1 (Oreo),Qualcomm SDM429 Snapdragon 429,Quad-core 1.8 GHz Cortex-A53,"microSD, up to 128 GB (uses SIM 2 slot)","16 GB, 2 GB RAM","8 MP, f/2.0, 1/4"", 1.12µm",1080p@30fps,,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO",FM radio,microUSB 2.0,"Fingerprint (rear-mounted, market dependent), accelerometer, proximity",Li-Ion 3500 mAh battery,,"Anthracite black, Metallic Blue",,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 504,"LED flash, HDR, panorama",,HDR,,,,,,,,Asahi Dragontrail Glass,,Yes (market dependent),,,,,,"13 MP, f/2.0, 1/3"", 1.12µm 5 MP, depth sensor",,,,,,,,,,,
alcatel,alcatel 3 (2019),https://cdn2.gsmarena.com/vv/bigpic/alcatel-3-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, Q1",151.1 x 69.7 x 8 mm (5.95 x 2.74 x 0.31 in),145 g (5.11 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.94 inches, 86.6 cm2 (~82.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~289 ppi density)",Android 8.1 (Oreo),Qualcomm SDM439 Snapdragon 439 (12 nm),Octa-core (2x2.0 GHz Cortex-A53 & 6x1.45 GHz Cortex A53),"microSD, up to 128 GB (uses SIM 2 slot)","32 GB, 3 GB RAM","8 MP, f/2.0, 1/4"", 1.12µm",1080p@30fps,,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Li-Ion 3500 mAh battery,,"Blue-purple gradient, Black-blue gradien",,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 505,"LED flash, HDR, panorama",,HDR,,,,,,,,Asahi Dragontrail Glass,,Yes (market dependent),,,,,,"13 MP, f/2.0, 1/3"", 1.12µm 5 MP, depth sensor",,,,,,,,,,,
alcatel,alcatel 1s,https://cdn2.gsmarena.com/vv/bigpic/alcatel-1s.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2019, February","Coming soon. Exp. release 2019, Q1",147.8 x 70.7 x 8.6 mm (5.82 x 2.78 x 0.34 in),146 g (5.15 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~74.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Android 9.0 (Pie),Unisoc SC9863A,Octa-core 1.6 GHz Cortex-A55,"microSD, up to 128 GB (uses SIM 2 slot)","32 GB, 3 GB RAM","5 MP, f/2.2, 1/5"", 1.12µm",1080p@30fps,,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Li-Ion 3060 mAh battery,,"Blue, Black, Rose, Gold",,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"LED flash, HDR, panorama",,HDR,,,,,,,,,,,,,,,,"13 MP, f/2.0, 1/3"", 1.12µm 2 MP, depth sensor",,,,,,,,,,,
alcatel,alcatel 1x (2019),https://cdn2.gsmarena.com/vv/bigpic/alcatel-1x-2019.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2019, January","Coming soon. Exp. release 2019, Q1",146.4 x 68.8 x 8.3 mm (5.76 x 2.71 x 0.33 in),130 g (4.59 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100 - 5059X/Y/D/J/T/I,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~77.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Android 8.1 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 128 GB","16 GB, 2 GB RAM",5 MP,1080p@30fps,,720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted, 5008T only), accelerometer, proximity","LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 28(700) - 5008Y",,"Pebble Blue, Pebble Black",About 120 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5059A,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 40(2300) - 5008T","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,"LED flash, HDR","3,0000 mAh battery",LED flash,,,,,,,,,,No,,,,,,13 MP 2 MP,,,,,,,,,,,
alcatel,alcatel 1c (2019),https://cdn2.gsmarena.com/vv/bigpic/alcatel-1c-2019.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2019, January","Coming soon. Exp. release 2019, Q1",136.6 x 65.3 x 10 mm (5.38 x 2.57 x 0.39 in),148 g (5.22 oz),Single SIM (Nano-SIM),HSDPA 850 / 900 / 1900 / 2100,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 64.5 cm2 (~72.3% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)",Android 8.1 Oreo (Go edition),Spreadtrum SC7731E,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB","8 GB, 1 GB RAM",5 MP,720p@30fps,2 MP,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",2000 mAh battery,,"Enamel Blue, Blush Pink, Volcano Black",About 70 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,HSPA 42.2/5.76 Mbps,,"LED flash, HDR",,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel Tetra,https://cdn2.gsmarena.com/vv/bigpic/alcatel-tetra.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2018, September","Available. Released 2018, September",142.5 x 71.9 x 9.4 mm (5.61 x 2.83 x 0.37 in),150 g (5.29 oz),Nano-SIM,Removable Li-Ion 2050 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 8.1 (Oreo),Mediatek MT6739WM (28 nm),Quad-core 1.1 GHz Cortex-A53,"microSD, up to 128 GB","16 GB, 2 GB RAM","5 MP, AF",720p@30fps,2 MP,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,Stealth Black,About 50 USD,HSDPA 850 / 1700(AWS) / 1900,"LTE band 2(1900), 4(1700/2100), 5(850), 12(700), 14(700)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,"LED flash, HDR",,,,,,,,,,Asahi Dragontrail Glass,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 7,https://cdn2.gsmarena.com/vv/bigpic/alcatel-7-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2018, August","Available. Released 2018, August",162.1 x 75 x 8.6 mm (6.38 x 2.95 x 0.34 in),175 g (6.17 oz),Nano-SIM,Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 93.8 cm2 (~77.1% screen-to-body ratio)","1080 x 2180 pixels, 18:9 ratio (~402 ppi density)",Android 8.1 (Oreo),Mediatek MT6763T Helio P23 (16 nm),Octa-core 2.5 GHz Cortex-A53,"microSD, up to 128 GB","32 GB, 2 RAM","8 MP, f/2.8, 1/4"", 1.12 μm",1080p@30fps (gyro-EIS),,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery,Up to 28 h (3G),Black,About 180 USD,HSDPA 850 / 1700(AWS) / 1900,"LTE band 2(1900), 4(1700/2100), 5(850), 12(700), 66(1700/2100), 71(600)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Mali-G71 MP2,"Dual-LED dual-tone flash, HDR, panorama",,LED flash,Up to 700 h (3G),,,,,,,Asahi Glass,Fast battery charging 10W (Pump Express 2.0+),,,,,,,"12 MP, f/2.2, 27mm (wide), 1/2.8"", 1.25 μm, PDAF 2 MP, f/2.4, 1/5"", 1.75 μm, depth sensor",Yes,,,,,,,,,,
alcatel,alcatel 5v,https://cdn2.gsmarena.com/vv/bigpic/alcatel-5v.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only),Yes,Yes,"2018, July","Available. Released 2018, August",153.7 x 74.5 x 8.5 mm (6.05 x 2.93 x 0.33 in),158 g (5.57 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 96.7 cm2 (~84.5% screen-to-body ratio)",720 x 1500 pixels (~268 ppi density),Android 8.1 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB","32 GB, 3 RAM","8 MP, f/2.8, 1/4"", 1.12 μm",1080p@30fps (gyro-EIS),,720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery,,"Black, Blue",About 180 EUR,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,PowerVR GE8320,"Dual-LED dual-tone flash, HDR, panorama",,LED flash,,,,,,,,Asahi Dragontrail Glass,,Yes,,,,,,"12 MP, f/2.2, 1/2.8"", 1.25 μm, PDAF 2 MP, f/2.4, 1/5"", 1.75 μm, depth sensor",,,,,,,,,,,
alcatel,alcatel 5,https://cdn2.gsmarena.com/vv/bigpic/alcatel-5-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2018, February","Available. Released 2018, February",152.3 x 71.1 x 8.4 mm (6.00 x 2.80 x 0.33 in),144 g (5.08 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5086A,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~77.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 7.1 (Nougat),Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 128 GB","32 GB, 3 GB RAM (5086D/Y) or 16 GB, 2 GB RAM (5086A)","12 MP, f/2.2, 1/2.9"", 1.25µm, AF",1080p@30fps,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS","FM radio, wireless FM","2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, proximity, compass","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 28(700) - 5086A",,"Metallic Gold, Metallic Black",About 230 EUR,HSDPA 850 / 900 / 1900 / 2100 - 5086D/Y,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 28(700) - 5086D/Y","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T860MP2,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3000 mAh battery,,,,,,,,,,,Yes (5086Y only),,,,,,"13 MP, f/2.0, 1.4 μm 5 MP, depth sensor",,,,,,,,,,,
alcatel,alcatel 3v,https://cdn2.gsmarena.com/vv/bigpic/alcatel-3v.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2018, February","Available. Released 2018, February",162 x 76 x 8.1 mm (6.38 x 2.99 x 0.32 in),155 g (5.47 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5099A,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~75.5% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Android 8.0 (Oreo),Mediatek MT8735A,Quad-core 1.45 GHz Cortex-A53,"microSD, up to 128 GB","16/32 GB, 2 GB RAM",5 MP,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300) - 5099U/I",,"Spectrum Black, Spectrum Blue, Spectrum Gold",About 160 EUR,HSDPA 850 / 900 / 1900 / 2100 - 5099Y/D/U/I,"LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800), 28(700), 38(2600) - 5099Y/D","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,"LED flash, HDR, panorama",Non-removable Li-Ion 3000 mAh battery,LED flash,,,,,,,,,,Yes (5099Y only),,,,,,"12 MP, f/2.2, 1/2.8"", 1.25 μm, PDAF 2 MP, f/2.4, 1/5"", depth sensor",,,,,,,,,,,
alcatel,alcatel 3x,https://cdn2.gsmarena.com/vv/bigpic/alcatel-3x-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM),Yes,Yes,"2018, February","Available. Released 2018, May",153.5 x 71.6 x 8.5 mm (6.04 x 2.82 x 0.33 in),144 g (5.08 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100 - 5058I/T/Y,"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~76.3% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 7.1 (Nougat),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB","32 GB, 3 GB RAM (5058J/I/Y) or 16 GB, 2 GB RAM (5058A/T)",,1080p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300) - 5058I/T",,"Metallic Black, Metallic Blue, Metallic Gold - EU/MEASpectrum Black, Spectrum Blue, Spectrum Gold - LATAM",About 130 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5058A/J,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 28(700) - 5058A/J","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3000 mAh battery,LED flash,,,,,,,,,,Yes (5058Y only),,,,,,,,,,,,,,,,,
alcatel,alcatel 3,https://cdn2.gsmarena.com/vv/bigpic/alcatel-3-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2018, February","Available. Released 2018, May",147.1 x 68.8 x 8.5 mm (5.79 x 2.71 x 0.33 in),145 g (5.11 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100 - 5052Y/D,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~77.1% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Android 8.0 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB","16 GB, 2 GB RAM","13 MP, f/2.0, 1/3"", 1.12µm, PDAF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - 5052Y/D",,"Spectrum Black, Spectrum Gold (LATAM), Spectrum Black, Spectrum Blue (APAC), Spectrum Black, Spectrum Blue, Spectrum Gold (EU/MEA)",About 170 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5052A,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 28(700) - 5052A","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,"LED flash, HDR, panorama",Non-removable Li-Ion 3000 mAh battery,LED flash,,,,,,,,,,Yes (5052Y only),,,,,,,,,,,,,,,,,
alcatel,alcatel 1x,https://cdn2.gsmarena.com/vv/bigpic/alcatel-1x-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2018, February","Available. Released 2018, May",147.5 x 70.6 x 9.1 mm (5.81 x 2.78 x 0.36 in),151 g (5.33 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",HSDPA 850 / 900 / 1900 / 2100 - 5059X/Y/D/J/T/I,"IPS LCD capacitive touchscreen, 16M colors","5.3 inches, 72.5 cm2 (~69.6% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~203 ppi density)",Android 8.1 (Oreo) - 5059D only; Android 8.1 Oreo (Go edition) - all other models,Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB","16 GB, 1 GB RAM or 2 GB RAM (5059D only)","8 MP, f/2.0, 1/4"", 1.12µm, AF 13 MP (5059D only)",1080p@30fps,5 MP,720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Fingerprint (rear-mounted, 5059A/J only), accelerometer, proximity","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 13(700), 17(700), 28(700) - 5059J",,"Black, Blue (EU, MEA, APAC); Black, Gold, Rose Gold (LATAM)",About 100 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5059A,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 28(700) - 5059A","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,"LED flash, HDR",Li-Ion 2460 mAh battery,LED flash,,,,,,,,,,Yes (5059Y only),,,,,,,,,,,,,,,,,
alcatel,alcatel 3c,https://cdn2.gsmarena.com/vv/bigpic/alcatel-3c-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM),Yes,Yes,"2018, January","Available. Released 2018, May",161 x 76 x 7.9 mm (6.34 x 2.99 x 0.31 in),169 g (5.96 oz),Dual SIM (dual stand-by),Non-removable Li-Ion 3000 mAh battery,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~75.9% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~268 ppi density)",Android 7.1 (Nougat),Mediatek MT8321 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB","16 GB, 1 GB RAM","8 MP, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",To be confirmed,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,,"Black, Gold, Blue",About 130 EUR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-400,"LED flash, HDR, panorama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 1T 10,https://cdn2.gsmarena.com/vv/bigpic/alcatel-1t-10.jpg,No cellular connectivity,N/A,No,Yes,"2018, February","Available. Released 2018, June",255 x 155 x 9.4 mm (10.04 x 6.10 x 0.37 in),415 g (14.64 oz),No,Non-removable Li-Ion 4000 mAh battery,"TFT capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~74.8% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",Android 8.1 (Oreo),Mediatek MT8321 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB","16 GB, 1 GB RAM",2 MP,720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,"Gray, Dark Blue",About 100 EUR,,,No,Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcatel,alcatel 1T 7,https://cdn2.gsmarena.com/vv/bigpic/alcatel-1t-7.jpg,No cellular connectivity,N/A,No,Yes,"2018, February","Available. Released 2018, June",189.5 x 111 x 9.2 mm (7.46 x 4.37 x 0.36 in),245 g (8.64 oz),No,Non-removable Li-Ion 2580 mAh battery,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~65.6% screen-to-body ratio)","1024 x 600 pixels, 16:9 ratio (~170 ppi density)",Android 8.1 (Oreo),Mediatek MT8321A/D (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB","8 GB, 1 GB RAM",2 MP,720p@30fps,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,"Gray, Dark Blue",About 70 EUR,,,No,Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
