Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1_1,Features_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,NFC,SAR EU,Music play,SAR,Browser,Keyboard,Dual,Infrared port,Build,Phonebook,Call records,Messaging,Games,Java,Alert types,Clock,Alarm,Languages,Triple,Dual_1
blackberry,BlackBerry KEY2 LE,https://cdn2.gsmarena.com/vv/bigpic/blackberry-key2-le-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only),Yes,Yes,"2018, August","Available. Released 2018, October",150.3 x 71.8 x 8.4 mm (5.92 x 2.83 x 0.33 in),156 g (5.50 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 20(800), 28(700), 29(700), 66(1700/2100), 38(2600), 39(1900), 40(2300), 41(2500) - BBE100-2, BBE100-5 DS (NA, LATAM)","IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 60.0 cm2 (~55.6% screen-to-body ratio)","1080 x 1620 pixels, 3:2 ratio (~434 ppi density)",Android 8.1 (Oreo),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,"microSD, up to 256 GB","32/64 GB, 4 GB RAM",8 MP,"2160p@30fps, 1080p@30fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, WiFi Direct, hotspot","5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (front-mounted), accelerometer, proximity, compass",Capacitive touch 4-row BlackBerry keyboard,,"Slate, Champagne, Atomic",About 330 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 19(800), 20(800), 26(850), 28(700), 32(1500), 38(2600), 40(2300), 41(2500) - BBE100-1, BBE100-4 DS (EU, Africa, AU)","HSPA, LTE-A",Adreno 509,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3000 mAh battery,,,,,,,,,Corning Gorilla Glass (unspecified version),,Yes,0.78 W/kg (head)     1.61 W/kg (body),,1.01 W/kg (head)     1.17 W/kg (body),,QWERTY,"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF 5 MP, f/2.4, 1.12µm, depth sensor",,"Aluminum frame, plastic back",,,,,,,,,,,
blackberry,BlackBerry Evolve X,https://cdn2.gsmarena.com/vv/bigpic/blackberry-exolve-x-5.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2018, August","Available. Released 2018, August",159.1 x 76.8 x 8.8 mm (6.26 x 3.02 x 0.35 in),170 g (5.93 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic Dolby Atmos sound,"IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~75.8% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",Android 8.1 (Oreo),Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"microSD, up to 512 GB","64 GB, 6 GB RAM","16 MP, f/2.0",1080p@30fps,,1080p@30/60fps,Yes,Yes,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, WiFi Direct, hotspot","5.0, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, SBAS",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery,,Black,About 350 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/150 Mbps",Adreno 512,"Dual-LED dual-tone flash, HDR, panorama",,LED flash,,,,,,,,Corning Gorilla Glass 5,Fast battery charging 18W (Quick Charge 3.0) USB Power Delivery 2.0 Wireless charging,,,,,,,"12 MP, f/1.8, 1/2.8"", 1.29µm, PDAF 13 MP, f/2.6, 1/3.4"", 1.0µm, 2х optical zoom, PDAF",,Aluminum frame (7000 series),,,,,,,,,,,
blackberry,BlackBerry Evolve,https://cdn2.gsmarena.com/vv/bigpic/blackberry-exolve-6.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2018, August","Available. Released 2018, October",158.9 x 76.1 x 8.4 mm (6.26 x 3.00 x 0.33 in),170 g (5.93 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~76.6% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",Android 8.1 (Oreo),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,"microSD, up to 256 GB","64 GB, 4 GB RAM",16 MP,1080p@30fps,,1080p@30/60fps,Yes,Yes,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS, GALILEO",FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery,,Black,About 300 EUR,HSDPA 900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 40(2300), 41(2500)","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Adreno 506,"Dual-LED dual-tone flash, HDR, panorama",,LED flash,,,,,,,,Corning Gorilla Glass 5,Fast battery charging 18W (Quick Charge 3.0) USB Power Delivery 2.0,,,,,,,"13 MP, 1/3.1"", 1.12µm, PDAF 13 MP B/W, 1/3.1"", 1.12µm, PDAF",,,,,,,,,,,,,
blackberry,BlackBerry KEY2,https://cdn2.gsmarena.com/vv/bigpic/blackberry-key2-new.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (BBF100-6 model only),Yes,Yes,"2018, June","Available. Released 2018, June",151.4 x 71.8 x 8.5 mm (5.96 x 2.83 x 0.33 in),168 g (5.93 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) - BBF100-6 only","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 20(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100) - Canada, US, LATAM (BBF100-2)","IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 60.0 cm2 (~55.2% screen-to-body ratio)","1080 x 1620 pixels, 3:2 ratio (~434 ppi density)",Android 8.1 (Oreo),Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"microSD, up to 256 GB","64/128 GB, 6 GB RAM","8 MP, f/2.0, 1/4"", 1.12µm","2160p@30fps, 1080p@30fps",,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","5.0, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, BDS2",FM radio,"3.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500) - ME, APAC, India (BBF100-6)",,"Black, Silver, Red",About 500 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500) - EU, Africa, AU (BBF100-1)","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat11 600/75 Mbps",Adreno 512,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3500 mAh battery,,,Basemark OS II: 2850 / Basemark OS II 2.0: 2391Basemark X: 20665,"Contrast ratio: 1572 (nominal), 3.212 (sunlight)",Photo / Video,Voice 66dB / Noise 72dB / Ring 79dB,Noise -90.7dB / Crosstalk -94.2dB,Endurance rating 86h,Corning Gorilla Glass 3,Fast battery charging 18W: 50% in 36 min (Quick Charge 3.0),Yes,0.72 W/kg (head)     1.68 W/kg (body),,,,QWERTY,"12 MP, f/1.8, 1/2.3"", 1.28µm, dual pixel PDAF 12 MP, f/2.6, 1/3.4"", 1.0µm, PDAF",,"Aluminum frame (7000 series), plastic back",,,,,,,,,,,
blackberry,BlackBerry Motion,https://cdn2.gsmarena.com/vv/bigpic/blackberry-motion.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2017, October","Available. Released 2017, December",155.8 x 75.5 x 8.1 mm (6.13 x 2.97 x 0.32 in),167 g (5.89 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 12(700), 13(700), 17(700), 29(700), 30(2300), 66(1700/2100) - BBD100-2 (USA)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 82.6 cm2 (~70.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",Android 7.1 (Nougat),Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 512 GB (uses SIM 2 slot)","32 GB, 4 GB RAM","12 MP, PDAF, f/2.0","2160p@30fps, 1080p@30fps","8 MP, f/2.2, 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS2",FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",IP67 dust/water resistant (up to 1m for 30 mins),,Black,About 390 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 19(800), 20(800), 26(850), 28(700), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500) - BBD100-6 (EU, Global)","HSPA, LTE",Adreno 506,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 4000 mAh battery,,,Basemark OS II: 1104 / Basemark OS II 2.0: 1126Basemark X: 10242,,Photo / Video,Voice 66dB / Noise 69dB / Ring 77dB,,Endurance rating 94h,Scratch-resistant glass,Fast battery charging 18W (Quick Charge 3.0),Yes,,,,,,,,"Aluminum frame, plastic back",,,,,,,,,,,
blackberry,BlackBerry Aurora,https://cdn2.gsmarena.com/vv/bigpic/blackberry-aurora.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, March","Available. Released 2017, March",152 x 76.8 x 8.5 mm (5.98 x 3.02 x 0.33 in),178 g (6.28 oz),"Dual SIM (Micro-SIM, dual stand-by)",Active noise cancellation with dedicated mic,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 7.0 (Nougat),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB","32 GB, 4 GB RAM","13 MP, AF",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS",No,microUSB 2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion 3000 mAh battery,,"Black, Silver, Gold",About 200 EUR,HSDPA 850 / 900 / 1900 / 2100,LTE,"HSPA, LTE",Adreno 308,"Dual-LED flash, HDR, panorama",,,,,,,,,,,,,,,,,,,,Plastic body,,,,,,,,,,,
blackberry,BlackBerry Keyone,https://cdn2.gsmarena.com/vv/bigpic/blackberry-keyone-mercury.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (BBB100-4 only),Yes,Yes,"2017, February","Available. Released 2017, April",149.1 x 72.4 x 9.4 mm (5.87 x 2.85 x 0.37 in),180 g (6.35 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) - BBB100-4 only",Capacitive touch 4-row BlackBerry keyboard,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 60.0 cm2 (~55.6% screen-to-body ratio)","1080 x 1620 pixels, 3:2 ratio (~434 ppi density)","Android 7.1 (Nougat), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","12 MP, f/2.0, 1/2.3"", 1.55µm, PDAF",2160p@30fps,"8 MP, f/2.2, 1/4"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, BDS2",FM radio,"3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Active noise cancellation with dedicated mic,,"Black/Silver, Black, Bronze",About 290 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 20(800), 28(700), 38(2600), 40(2300)","HSPA 42.2/5.76 Mbps, LTE-A Cat9 450/50 Mbps",Adreno 506,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3500 mAh battery,,,Basemark OS II: 1169 / Basemark OS II 2.0: 1132Basemark X: 10445,Contrast ratio: 1756:1 (nominal),Photo / Video,Voice 62dB / Noise 66dB / Ring 67dB,Noise -92.2dB / Crosstalk -96.4dB,Endurance rating 81h,Corning Gorilla Glass 4,Fast battery charging 18W: 50% in 36 min (Quick Charge 3.0),Yes,,,,,QWERTY,,,"Aluminum frame, plastic back",,,,,,,,,,,
blackberry,BlackBerry DTEK60,https://cdn2.gsmarena.com/vv/bigpic/bb-dtek-60r.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, October","Available. Released 2016, October",153.9 x 75.4 x 7 mm (6.06 x 2.97 x 0.28 in),165 g (5.82 oz),Nano-SIM,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 19(800), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - EMEA","AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8996 Snapdragon 820 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),"microSD, up to 512 GB (dedicated slot)","32 GB, 4 GB RAM","21 MP, PDAF, f/2.0","2160p@30fps, 720p@120fps","8 MP, f/2.2",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Active noise cancellation with dedicated mic,Up to 26 h (3G),Black,About 300 EUR,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA, EMEA","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700), 20(800), 29(700) - USA","HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",Adreno 530,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3000 mAh battery,,Up to 336 h (3G),,,,,,,"Scratch-resistant glass, oleophobic coating",Fast battery charging 18W (Quick Charge 3.0),Yes,,Up to 88 h,,,,,,,,,,,,,,,,,
blackberry,BlackBerry DTEK50,https://cdn2.gsmarena.com/vv/bigpic/bb-dtek.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, July","Available. Released 2016, August",147 x 72.5 x 7.4 mm (5.79 x 2.85 x 0.29 in),135 g (4.76 oz),Nano-SIM,HSDPA 850 / 900 / 1900 / 2100 - EMEA,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~69.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),"microSD, up to 256 GB (uses SIM 2 slot)","16 GB, 3 GB RAM","13 MP, PDAF, f/2.0",1080p@30fps,"8 MP, f/2.2",1080p@30fps,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, BDS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","LTE band 1(2100), 2(1900), 3(1800), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - EMEA",Up to 17 h (3G),Black,About 200 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700), 20(800), 29(700), 30(2300) - USA","HSPA, LTE",Adreno 405,"Dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 2610 mAh battery,,Up to 576 h (3G),,,,,,,"Scratch-resistant glass, oleophobic coating",Fast battery charging 18W: 50% in 51 min (Quick Charge 2.0),Yes,,Up to 40 h,,,,,,,,,,,,,,,,,
blackberry,BlackBerry Priv,https://cdn2.gsmarena.com/vv/bigpic/blackberry-priv.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, October","Available. Released 2015, November",147 x 77.2 x 9.4 mm (5.79 x 3.04 x 0.37 in),192 g (6.77 oz),Nano-SIM,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 7(2600), 8(900), 13(700), 17(700), 20(800), 28(700) - Europe (STV100-4)","AMOLED capacitive touchscreen, 16M colors","5.4 inches, 81.6 cm2 (~71.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~540 ppi density)","Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),"microSD, up to 256 GB (dedicated slot)","32 GB, 3 GB RAM","18 MP, f/2.2, 27mm (wide), 1/2.4"", OIS PDAF","2160p@30fps, 1080p@60fps",2 MP,720p,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS",No,microUSB 2.0 (SlimPort 4K),"Accelerometer, altimeter, gyro, ToF proximity, compass",Capacitive touch 4-row BlackBerry keyboard,Up to 24 h (3G),Black,About 270 EUR,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - USA (STV100-1), Europe (STV100-4)","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 17(700), 20(800), 29(700), 30(2300) - USA (STV100-1)","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps",Adreno 418,"Schneider-Kreuznach optics, dual-LED dual-tone flash, HDR, panorama",Non-removable Li-Ion 3410 mAh battery,,Up to 420 h (3G),,,Photo / Video,,,Endurance rating 62h,Corning Gorilla Glass 4,Fast battery charging 18W (Quick Charge 2.0) Qi/PMA wireless charging (market dependent),Yes,,Up to 73 h,,,QWERTY,,,Plastic body,,,,,,,,,,,
blackberry,BlackBerry Leap,https://cdn2.gsmarena.com/vv/bigpic/blackberry-leap1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, April",144 x 72.8 x 9.5 mm (5.67 x 2.87 x 0.37 in),170 g (6.00 oz),Micro-SIM,HSDPA 850 / 900 / 1900 / 2100 - Global,"IPS LCD, capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",BlackBerry OS 10.3.1,Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,"microSD, up to 256 GB (dedicated slot)","16 GB, 2 GB RAM","8 MP, f/2.2, 31mm (standard), AF","1080p@30fps, 720p@60fps",2 MP,720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity","LTE band 1(2100), 3(1800), 7(2600), 8(900), 20(800) - Global",Up to 25 h,"Black, White",About 80 EUR,HSDPA 850 / 900 / 1700 / 1900 / 2100 - North America,"LTE band 1(2100), 2(1900), 4(1700/2100), 5(850), 7(2600), 13(700), 17(700) - North America","HSPA, LTE",Adreno 225,"LED flash, HDR, panorama",Non-removable Li-Ion 2800 mAh battery,,,,,Photo / Video,,,Endurance rating 45h,,,,,,,,,,,,,,,,,,,,,,
blackberry,BlackBerry Classic Non Camera,https://cdn2.gsmarena.com/vv/bigpic/blackberry-classic-no.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, February","Available. Released 2015, March",131 x 72.4 x 10.2 mm (5.16 x 2.85 x 0.40 in),178 g (6.28 oz),Nano-SIM,CDMA 800 / 1900,"IPS LCD, capacitive touchscreen, 16M colors","3.5 inches, 39.5 cm2 (~41.7% screen-to-body ratio)","720 x 720 pixels, 1:1 ratio (~291 ppi density)",BlackBerry OS 10.3.1,,Dual-core 1.5 GHz Krait,"microSD, up to 256 GB (dedicated slot)","16 GB, 2 GB RAM",,,,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",FM radio,microUSB 2.0 (SlimPort),"Accelerometer, gyro, proximity, compass",CDMA2000 1xEV-DO,Up to 22 h (3G),Black,About 180 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 4(1700/2100), 13(700)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps",,,Non-removable Li-Ion 2500 mAh battery,,Up to 384 h (3G),,,,,,,Corning Gorilla Glass 3,,Yes,,,1.41 W/kg (head)     0.78 W/kg (body),,QWERTY,,,,,,,,,,,,,,
blackberry,BlackBerry Porsche Design P'9983,https://cdn2.gsmarena.com/vv/bigpic/BlackBerry-Porsche-Design-P9983-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - all versions,Yes,Yes,"2014, September","Available. Released 2014, October",119 x 67.1 x 10.6 mm (4.69 x 2.64 x 0.42 in),140 g (4.94 oz),Micro-SIM,HSDPA 850 / 1900 / 2100 - North America,"Capacitive touchscreen, 16M colors","3.1 inches, 31.0 cm2 (~38.8% screen-to-body ratio)","720 x 720 pixels, 1:1 ratio (~328 ppi density)","BlackBerry OS 10.3, upgradable to 10.3.1",Qualcomm MSM8960T Snapdragon S4 Pro,Dual-core 1.5 GHz Krait,"microSD, up to 256 GB (dedicated slot)","64 GB, 2 GB RAM","8 MP, AF",1080p@30fps,2 MP,720p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","LTE band 2(1900), 4(1700/2100), 5(850), 17(700) - North America",Up to 9 h (2G) / Up to 14 h (3G),Black,About 430 EUR,"HSDPA 850 / 900 / 1900 / 2100 - EU, EMEA","LTE band 3(1800), 7(2600), 8(900), 20(800) - EU, EMEA","HSPA, LTE",Adreno 225,"LED flash, HDR, panorama",Removable Li-Ion 2100 mAh battery,,Up to 288 h (2G) / Up to 288 h (3G),,,,,,,,,Yes,,Up to 45 h,,,,,,,,,,,,,,,,,
blackberry,BlackBerry Passport,https://cdn2.gsmarena.com/vv/bigpic/blackberry-passport-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, June","Available. Released 2014, September",128 x 90.3 x 9.3 mm (5.04 x 3.56 x 0.37 in),196 g (6.91 oz),Nano-SIM,HSDPA 850 / 900 / 1700 / 1900 / 2100,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 65.3 cm2 (~56.5% screen-to-body ratio)","1440 x 1440 pixels, 1:1 ratio (~453 ppi density)","BlackBerry OS 10.3, upgradable to 10.3.2",Qualcomm MSM8974AA Snapdragon 801 (28 nm),Quad-core 2.26 GHz Krait 400,"microSD, up to 256 GB (dedicated slot)","32 GB, 3 GB RAM","13 MP, f/2.0, 30mm (standard), OIS, AF",1080p@60fps,"2 MP, f/2.8, 28mm (wide)",720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS","FM radio, RDS",microUSB 2.0 (SlimPort),"Accelerometer, gyro, proximity, compass","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 20(800)",Up to 18 h (2G) / Up to 23 h (3G),"Black, White, Red, Black&Gold, Silver",About 170 EUR,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900)","HSPA, LTE-A",Adreno 330,"LED flash, HDR, panorama",Non-removable Li-Ion 3450 mAh battery,,Up to 432 h (2G) / Up to 444 h (3G),Basemark OS II: 628 / Basemark X: 10682,"Contrast ratio: 1256 (nominal), 2.595 (sunlight)",Photo / Video,Voice 76dB / Noise 71dB / Ring 76dB,Noise -91.5dB / Crosstalk -92.5dB,Endurance rating 73h,Corning Gorilla Glass 3,,Yes,,Up to 84 h,,,QWERTY,,,"Aluminum frame, plastic back",,,,,,,,,,,
